secid	tradedate	boardid	primary_boardid	shortname	inn	year	dailycapitalization	close	volume	sector	type	issuesize	capex_revenue_rsbu	capex_revenue_msfo	capital_rsbu	capital_msfo	current_ratio_rsbu	current_ratio_msfo	debt_equity_rsbu	debt_equity_msfo	debt_ratio_rsbu	debt_ratio_msfo	debtebitda_rsbu	debtebitda_msfo	dpr_rsbu	dpr_msfo	ebitda_margin_rsbu	ebitda_margin_msfo	ev_ebit_rsbu	ev_ebit_msfo	evebitda_rsbu	evebitda_msfo	evs_rsbu	evs_msfo	gross_margin_rsbu	gross_margin_msfo	interest_coverage_rsbu	interest_coverage_msfo	net_margin_rsbu	net_margin_msfo	net_working_capital_rsbu	net_working_capital_msfo	netdebt_ebitda_rsbu	netdebt_ebitda_msfo	operation_margin_rsbu	operation_margin_msfo	pbv_rsbu	pbv_msfo	pcf_rsbu	pcf_msfo	pe_rsbu	pe_msfo	pfcf_rsbu	pfcf_msfo	pffo_rsbu	pffo_msfo	ps_rsbu	ps_msfo	roa_rsbu	roa_msfo	roce_rsbu	roce_msfo	roe_rsbu	roe_msfo	roic_rsbu	roic_msfo	ros_rsbu	ros_msfo	line_1100	line_1110	line_1120	line_1130	line_1140	line_1150	line_1160	line_1170	line_1180	line_1190	line_1200	line_1210	line_1220	line_1230	line_1240	line_1250	line_1260	line_1300	line_1310	line_1320	line_1340	line_1350	line_1360	line_1370	line_1400	line_1410	line_1420	line_1430	line_1450	line_1500	line_1510	line_1520	line_1530	line_1540	line_1550	line_1600	line_1700	line_2100	line_2110	line_2120	line_2200	line_2210	line_2220	line_2300	line_2310	line_2320	line_2330	line_2340	line_2350	line_2400	line_2410	line_2411	line_2412	line_2421	line_2430	line_2450	line_2460	line_2500	line_2510	line_2520	line_2530	line_2900	line_2910	line_3100	line_3200	line_3210	line_3211	line_3212	line_3213	line_3214	line_3215	line_3216	line_321x	line_3220	line_3221	line_3222	line_3223	line_3224	line_3225	line_3226	line_3227	line_322x	line_3230	line_3240	line_3300	line_3310	line_3311	line_3312	line_3313	line_3314	line_3315	line_3316	line_331x	line_3320	line_3321	line_3322	line_3323	line_3324	line_3325	line_3326	line_3327	line_332x	line_3330	line_3340	line_3400	line_3401	line_3402	line_3410	line_3411	line_3412	line_3420	line_3421	line_3422	line_3500	line_3501	line_3502	line_3600	line_4100	line_4110	line_4111	line_4112	line_4113	line_4119	line_411x	line_4120	line_4121	line_4122	line_4123	line_4124	line_4129	line_412x	line_4200	line_4210	line_4211	line_4212	line_4213	line_4214	line_4219	line_421x	line_4220	line_4221	line_4222	line_4223	line_4224	line_4229	line_422x	line_4300	line_4310	line_4311	line_4312	line_4313	line_4314	line_4319	line_431x	line_4320	line_4321	line_4322	line_4323	line_4329	line_432x	line_4400	line_4450	line_4490	line_4500	line_6100	line_6200	line_6210	line_6215	line_6220	line_6230	line_6240	line_6250	line_6300	line_6310	line_6311	line_6312	line_6313	line_6320	line_6321	line_6322	line_6323	line_6324	line_6325	line_6326	line_6330	line_6350	line_6400	key_rate	inflation	str_li_def_new	str_li_def	claims	action_based_repo_fx	action_based_secure_loans	standing_facilities_repo_fx	standing_facilities_secure_loans	liabilities	deposit_auction_based	deposit_standing_facilities	cbr_bonds	net_cbr_claims	corr_acc	avgrr	gold_price	silver_price	platinum_price	palladium_price	usd_price	eur_price	ruonia_rate	ruonia_volume
AFKC	2011-08-03	SMAL	EQNL	Система ао	7703104630	2011.0	297625300000.0	31.65	81		common_share	0.0		12.54		6983.99		1.12		2.15		0.67		2.34				20.89		5.58		2.93		0.61		60.51		2.08		3.61		1.12		1.92		11.97		0.87		1.25		32.04		4.85				0.21		2.71		12.02		8.67		7.79		10.97	397032109.0	270.0				3847750.0		390922112.0	2201852.0	60125.0	84587482.0	175915.0	32844.0	19590617.0	62283530.0	2500671.0	3904.0	425816817.0	868500.0		1784471.0	37708280.0	43425.0	385412141.0	39935857.0	39894775.0	41082.0			15866918.0	14225077.0	194970.0		1446871.0		481619591.0	481619591.0	29093606.0	29208979.0	-115373.0	20345902.0		-8747704.0	-15142642.0		2799878.0	-5698818.0	116447056.0	-149036660.0	-14397842.0	-6379.0			-6564026.0	-218766.0	2075788.0	751179.0	-14491953.0	-94110.0	-1.0																																																									425816817.0																																																																							8.25	8.16															1452.32	35.15	1600.77	743.15	27.8154	39.5173	3.75	58.4
AFKC	2011-08-03	EQNL	EQNL	Система ао	7703104630	2011.0	313798700000.0	32.201	849900		common_share	0.0		12.54		6983.99		1.12		2.15		0.67		2.34				20.89		5.58		2.93		0.61		60.51		2.08		3.61		1.12		1.92		11.97		0.87		1.25		32.04		4.85				0.21		2.71		12.02		8.67		7.79		10.97	397032109.0	270.0				3847750.0		390922112.0	2201852.0	60125.0	84587482.0	175915.0	32844.0	19590617.0	62283530.0	2500671.0	3904.0	425816817.0	868500.0		1784471.0	37708280.0	43425.0	385412141.0	39935857.0	39894775.0	41082.0			15866918.0	14225077.0	194970.0		1446871.0		481619591.0	481619591.0	29093606.0	29208979.0	-115373.0	20345902.0		-8747704.0	-15142642.0		2799878.0	-5698818.0	116447056.0	-149036660.0	-14397842.0	-6379.0			-6564026.0	-218766.0	2075788.0	751179.0	-14491953.0	-94110.0	-1.0																																																									425816817.0																																																																							8.25	8.16															1452.32	35.15	1600.77	743.15	27.8154	39.5173	3.75	58.4
AFKC	2011-09-07	SMAL	EQNL	Система ао	7703104630	2011.0	0.0	0.0	0		common_share	0.0		12.54		6983.99		1.12		2.15		0.67		2.34				20.89		5.58		2.93		0.61		60.51		2.08		3.61		1.12		1.92		11.97		0.87		1.25		32.04		4.85				0.21		2.71		12.02		8.67		7.79		10.97	397032109.0	270.0				3847750.0		390922112.0	2201852.0	60125.0	84587482.0	175915.0	32844.0	19590617.0	62283530.0	2500671.0	3904.0	425816817.0	868500.0		1784471.0	37708280.0	43425.0	385412141.0	39935857.0	39894775.0	41082.0			15866918.0	14225077.0	194970.0		1446871.0		481619591.0	481619591.0	29093606.0	29208979.0	-115373.0	20345902.0		-8747704.0	-15142642.0		2799878.0	-5698818.0	116447056.0	-149036660.0	-14397842.0	-6379.0			-6564026.0	-218766.0	2075788.0	751179.0	-14491953.0	-94110.0	-1.0																																																									425816817.0																																																																							8.25	7.21															1800.24	40.66	1786.91	729.24	29.6107	41.6771	3.61	37.21
AFKC	2011-09-07	EQNL	EQNL	Система ао	7703104630	2011.0	251903600000.0	26.098	1706100		common_share	0.0		12.54		6983.99		1.12		2.15		0.67		2.34				20.89		5.58		2.93		0.61		60.51		2.08		3.61		1.12		1.92		11.97		0.87		1.25		32.04		4.85				0.21		2.71		12.02		8.67		7.79		10.97	397032109.0	270.0				3847750.0		390922112.0	2201852.0	60125.0	84587482.0	175915.0	32844.0	19590617.0	62283530.0	2500671.0	3904.0	425816817.0	868500.0		1784471.0	37708280.0	43425.0	385412141.0	39935857.0	39894775.0	41082.0			15866918.0	14225077.0	194970.0		1446871.0		481619591.0	481619591.0	29093606.0	29208979.0	-115373.0	20345902.0		-8747704.0	-15142642.0		2799878.0	-5698818.0	116447056.0	-149036660.0	-14397842.0	-6379.0			-6564026.0	-218766.0	2075788.0	751179.0	-14491953.0	-94110.0	-1.0																																																									425816817.0																																																																							8.25	7.21															1800.24	40.66	1786.91	729.24	29.6107	41.6771	3.61	37.21
AFKC	2011-06-09	SMAL	EQNL	Система ао	7703104630	2011.0	0.0	0.0	0		common_share	0.0		12.54		6983.99		1.12		2.15		0.67		2.34				20.89		5.58		2.93		0.61		60.51		2.08		3.61		1.12		1.92		11.97		0.87		1.25		32.04		4.85				0.21		2.71		12.02		8.67		7.79		10.97	397032109.0	270.0				3847750.0		390922112.0	2201852.0	60125.0	84587482.0	175915.0	32844.0	19590617.0	62283530.0	2500671.0	3904.0	425816817.0	868500.0		1784471.0	37708280.0	43425.0	385412141.0	39935857.0	39894775.0	41082.0			15866918.0	14225077.0	194970.0		1446871.0		481619591.0	481619591.0	29093606.0	29208979.0	-115373.0	20345902.0		-8747704.0	-15142642.0		2799878.0	-5698818.0	116447056.0	-149036660.0	-14397842.0	-6379.0			-6564026.0	-218766.0	2075788.0	751179.0	-14491953.0	-94110.0	-1.0																																																									425816817.0																																																																							8.25	9.42															1366.72	33.3	1618.17	713.85	27.6847	40.6273	3.62	56.82
AFKC	2011-06-09	EQNL	EQNL	Система ао	7703104630	2011.0	287608600000.0	30.064	315300		common_share	0.0		12.54		6983.99		1.12		2.15		0.67		2.34				20.89		5.58		2.93		0.61		60.51		2.08		3.61		1.12		1.92		11.97		0.87		1.25		32.04		4.85				0.21		2.71		12.02		8.67		7.79		10.97	397032109.0	270.0				3847750.0		390922112.0	2201852.0	60125.0	84587482.0	175915.0	32844.0	19590617.0	62283530.0	2500671.0	3904.0	425816817.0	868500.0		1784471.0	37708280.0	43425.0	385412141.0	39935857.0	39894775.0	41082.0			15866918.0	14225077.0	194970.0		1446871.0		481619591.0	481619591.0	29093606.0	29208979.0	-115373.0	20345902.0		-8747704.0	-15142642.0		2799878.0	-5698818.0	116447056.0	-149036660.0	-14397842.0	-6379.0			-6564026.0	-218766.0	2075788.0	751179.0	-14491953.0	-94110.0	-1.0																																																									425816817.0																																																																							8.25	9.42															1366.72	33.3	1618.17	713.85	27.6847	40.6273	3.62	56.82
AFKC	2010-02-16	SMAL	EQNL	Система ао			0.0	0.0	0		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-02-16	EQNL	EQNL	Система ао			250571900000.0	26.65	1016100		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-07-30	SMAL	EQNL	Система ао			0.0	0.0	0		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-07-30	EQNL	EQNL	Система ао			252994050000.0	26.178	353900		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-10-11	SMAL	EQNL	Система ао			197979400000.0	26.0	14		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-10-11	EQNL	EQNL	Система ао			259401650000.0	26.81	434000		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-03-22	SMAL	EQNL	Система ао			0.0	0.0	0		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-03-22	EQNL	EQNL	Система ао			267333950000.0	27.675	1540300		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-05-28	SMAL	EQNL	Система ао			0.0	0.0	0		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-05-28	EQNL	EQNL	Система ао			268038400000.0	27.894	1218500		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-11-15	SMAL	EQNL	Система ао			0.0	0.0	0		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-11-15	EQNL	EQNL	Система ао			259083200000.0	26.757	781100		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-12-13	SMAL	EQNL	Система ао			248371700000.0	25.7	37		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-12-13	EQNL	EQNL	Система ао			251585150000.0	26.0	864000		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-05-24	SMAL	EQNL	Система ао			0.0	0.0	0		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-05-24	EQNL	EQNL	Система ао			254615250000.0	26.36	571500		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2011-06-07	SMAL	EQNL	Система ао	7703104630	2011.0	0.0	0.0	0		common_share	0.0		12.54		6983.99		1.12		2.15		0.67		2.34				20.89		5.58		2.93		0.61		60.51		2.08		3.61		1.12		1.92		11.97		0.87		1.25		32.04		4.85				0.21		2.71		12.02		8.67		7.79		10.97	397032109.0	270.0				3847750.0		390922112.0	2201852.0	60125.0	84587482.0	175915.0	32844.0	19590617.0	62283530.0	2500671.0	3904.0	425816817.0	868500.0		1784471.0	37708280.0	43425.0	385412141.0	39935857.0	39894775.0	41082.0			15866918.0	14225077.0	194970.0		1446871.0		481619591.0	481619591.0	29093606.0	29208979.0	-115373.0	20345902.0		-8747704.0	-15142642.0		2799878.0	-5698818.0	116447056.0	-149036660.0	-14397842.0	-6379.0			-6564026.0	-218766.0	2075788.0	751179.0	-14491953.0	-94110.0	-1.0																																																									425816817.0																																																																							8.25	9.42															1377.66	31.42	1625.25	702.79	27.7752	40.6879	3.6	38.84
AFKC	2011-06-07	EQNL	EQNL	Система ао	7703104630	2011.0	289606150000.0	29.999	982700		common_share	0.0		12.54		6983.99		1.12		2.15		0.67		2.34				20.89		5.58		2.93		0.61		60.51		2.08		3.61		1.12		1.92		11.97		0.87		1.25		32.04		4.85				0.21		2.71		12.02		8.67		7.79		10.97	397032109.0	270.0				3847750.0		390922112.0	2201852.0	60125.0	84587482.0	175915.0	32844.0	19590617.0	62283530.0	2500671.0	3904.0	425816817.0	868500.0		1784471.0	37708280.0	43425.0	385412141.0	39935857.0	39894775.0	41082.0			15866918.0	14225077.0	194970.0		1446871.0		481619591.0	481619591.0	29093606.0	29208979.0	-115373.0	20345902.0		-8747704.0	-15142642.0		2799878.0	-5698818.0	116447056.0	-149036660.0	-14397842.0	-6379.0			-6564026.0	-218766.0	2075788.0	751179.0	-14491953.0	-94110.0	-1.0																																																									425816817.0																																																																							8.25	9.42															1377.66	31.42	1625.25	702.79	27.7752	40.6879	3.6	38.84
AFKC	2010-01-26	SMAL	EQNL	Система ао			0.0	0.0	0		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-01-26	EQNL	EQNL	Система ао			246470650000.0	25.65	1147700		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-01-19	SMAL	EQNL	Система ао			0.0	0.0	0		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-01-19	EQNL	EQNL	Система ао			266928650000.0	27.849	2005200		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-09-30	SMAL	EQNL	Система ао			0.0	0.0	0		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-09-30	EQNL	EQNL	Система ао			267999800000.0	27.895	2537000		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-05-27	SMAL	EQNL	Система ао			0.0	0.0	0		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-05-27	EQNL	EQNL	Система ао			257278650000.0	26.95	816400		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-06-22	SMAL	EQNL	Система ао			0.0	0.0	0		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-06-22	EQNL	EQNL	Система ао			272911650000.0	28.381	404100		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-11-30	SMAL	EQNL	Система ао			0.0	0.0	0		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2010-11-30	EQNL	EQNL	Система ао			253409000000.0	26.301	822900		common_share	0.0																																																																																																																																																																																																																																																																											
AFKC	2011-10-17	SMAL	EQNL	Система ао	7703104630	2011.0	0.0	0.0	0		common_share	0.0		12.54		6983.99		1.12		2.15		0.67		2.34				20.89		5.58		2.93		0.61		60.51		2.08		3.61		1.12		1.92		11.97		0.87		1.25		32.04		4.85				0.21		2.71		12.02		8.67		7.79		10.97	397032109.0	270.0				3847750.0		390922112.0	2201852.0	60125.0	84587482.0	175915.0	32844.0	19590617.0	62283530.0	2500671.0	3904.0	425816817.0	868500.0		1784471.0	37708280.0	43425.0	385412141.0	39935857.0	39894775.0	41082.0			15866918.0	14225077.0	194970.0		1446871.0		481619591.0	481619591.0	29093606.0	29208979.0	-115373.0	20345902.0		-8747704.0	-15142642.0		2799878.0	-5698818.0	116447056.0	-149036660.0	-14397842.0	-6379.0			-6564026.0	-218766.0	2075788.0	751179.0	-14491953.0	-94110.0	-1.0																																																									425816817.0																																																																							8.25	7.19																			30.9905	42.7328	5.04	193.19
